	alpha	lambda	max_depth	learning_rate	n_estimators	subsample	colsample_bytree	min_child_weight	early_stopping_rounds	n_jobs
0	50	100	3	0.05	1000	0.8	0.8	3	10	20
1	10	50	5	0.01	500	0.9	0.7	2	20	20
2	30	80	4	0.03	800	0.85	0.75	2	15	20
3	0	10	6	0.1	300	0.8	0.8	1	5	20
4	25	70	7	0.02	1500	0.95	0.65	4	25	20
5	20	60	4	0.015	1200	0.9	0.7	2	20	20
6	15	40	5	0.02	1000	0.85	0.75	3	15	20
7	50	90	3	0.05	800	0.8	0.85	2	10	20
8	5	30	6	0.01	600	0.95	0.65	1	25	20
9	35	100	7	0.03	1300	0.88	0.72	4	20	20
10	0	0	4	0.05	700	0.8	0.8	2	10	20
11	25	75	5	0.025	1100	0.9	0.7	3	15	20
12	10	55	6	0.02	900	0.92	0.68	2	10	20
13	30	85	4	0.015	1000	0.86	0.73	3	20	20
14	45	95	3	0.035	1000	0.8	0.8	2	10	20
